component,feature,selection_count,selection_fraction
ad_vs_ftd,photic__median_frequency_hz__20hz__ch_C3,50,1.0
ad_vs_ftd,photic__median_frequency_hz__20hz__ch_T3,35,0.7
ad_vs_ftd,photic__median_frequency_hz__5hz__ch_T3,34,0.68
ad_vs_ftd,photic__higuchi_fd__5hz__ch_T3,30,0.6
ad_vs_ftd,photic__aperiodic_exponent__20hz__ch_P3,27,0.54
ad_vs_ftd,photic__gamma_relative__5hz__ch_T3,27,0.54
ad_vs_ftd,photic__gamma_relative__10hz__ch_T3,26,0.52
ad_vs_ftd,photic__beta_relative__5hz__ch_T3,25,0.5
ad_vs_ftd,photic__gamma_relative__20hz__ch_C3,25,0.5
ad_vs_ftd,photic__higuchi_fd__20hz__ch_C3,24,0.48
ad_vs_ftd,photic__median_frequency_hz__15hz__ch_C4,24,0.48
ad_vs_ftd,photic__aperiodic_offset__20hz__ch_P3,23,0.46
ad_vs_ftd,resting__theta_relative__ch_Fz,23,0.46
ad_vs_ftd,photic__gamma_relative__20hz__ch_T3,22,0.44
ad_vs_ftd,photic__beta_relative__20hz__ch_T3,21,0.42
ad_vs_ftd,photic__spectral_edge_95_hz__5hz__ch_T3,21,0.42
ad_vs_ftd,photic__delta_relative__rostrocaudal__10hz,20,0.4
ad_vs_ftd,photic__loglog_slope__5hz__ch_T3,20,0.4
ad_vs_ftd,photic__gamma_relative__20hz__ch_P3,18,0.36
ad_vs_ftd,photic__delta_relative__ap_slope__10hz,17,0.34
ad_vs_ftd,resting__spectral_edge_95_hz__lr_slope,17,0.34
ad_vs_ftd,photic__aperiodic_exponent__20hz__ch_C3,16,0.32
ad_vs_ftd,photic__spectral_entropy__10hz__ch_C4,16,0.32
ad_vs_ftd,photic__higuchi_fd__lr_slope__5hz,15,0.3
ad_vs_ftd,photic__loglog_slope__20hz__ch_C3,14,0.28
ad_vs_ftd,resting__surrogate_hfd_z__ch_F4,14,0.28
ad_vs_ftd,photic__higuchi_fd__20hz__ch_T3,13,0.26
ad_vs_ftd,photic__higuchi_fd__lr_slope__20hz,13,0.26
ad_vs_ftd,photic__loglog_slope__lr_slope__5hz,13,0.26
ad_vs_ftd,photic__median_frequency_hz__10hz__ch_T3,13,0.26
ad_vs_ftd,photic__aperiodic_offset__15hz__ch_Cz,12,0.24
ad_vs_ftd,photic__delta_relative__rostrocaudal__frequency_mean,12,0.24
ad_vs_ftd,photic__median_frequency_hz__10hz__ch_C4,12,0.24
ad_vs_ftd,photic__spectral_entropy__5hz__ch_T3,12,0.24
ad_vs_ftd,photic__gamma_relative__10hz__ch_C4,11,0.22
ad_vs_ftd,photic__delta_relative__ap_slope__frequency_sd,10,0.2
ad_vs_ftd,photic__gamma_relative__lr_slope__5hz,10,0.2
ad_vs_ftd,photic__loglog_slope__15hz__ch_T3,10,0.2
ad_vs_ftd,photic__loglog_slope__lr_slope__20hz,10,0.2
ad_vs_ftd,photic__stimulus_snr_db__10hz__ch_P3,10,0.2
ad_vs_ftd,resting__beta_relative__ch_T3,10,0.2
ad_vs_ftd,photic__aperiodic_exponent__10hz__ch_T3,9,0.18
ad_vs_ftd,photic__harmonic_snr_db__rostral__frequency_slope,9,0.18
ad_vs_ftd,photic__gamma_relative__20hz__ch_Pz,8,0.16
ad_vs_ftd,photic__median_frequency_hz__20hz__ch_T5,8,0.16
ad_vs_ftd,resting__loglog_slope__lr_slope,8,0.16
ad_vs_ftd,photic__gamma_relative__20hz__ch_Cz,7,0.14
ad_vs_ftd,photic__higuchi_fd__10hz__ch_T3,7,0.14
ad_vs_ftd,photic__loglog_slope__10hz__ch_T3,7,0.14
ad_vs_ftd,photic__median_frequency_hz__20hz__ch_F3,7,0.14
ad_vs_ftd,photic__theta_relative__lr_slope__20hz,7,0.14
ad_vs_ftd,resting__aperiodic_exponent__lr_slope,7,0.14
ad_vs_ftd,photic__gamma_relative__20hz__ch_T5,6,0.12
