component,repeat,fold,classifier,selected_k,inner_auc
resting_direct,0,0,LogisticRegression,5,0.7971230158730159
paired_direct,0,0,SVC,40,0.6982852795352795
dementia_vs_cn,0,0,LogisticRegression,40,0.9026515151515151
ad_vs_ftd,0,0,SVC,40,0.6714285714285714
resting_direct,0,1,LinearDiscriminantAnalysis,10,0.7186001498501499
paired_direct,0,1,SVC,40,0.7279602342102343
dementia_vs_cn,0,1,LogisticRegression,20,0.8771464646464647
ad_vs_ftd,0,1,SVC,40,0.5839285714285715
resting_direct,0,2,SVC,40,0.7251665001665001
paired_direct,0,2,SVC,40,0.8378128815628816
dementia_vs_cn,0,2,SVC,40,0.9462752525252526
ad_vs_ftd,0,2,SVC,40,0.8535714285714286
resting_direct,0,3,SVC,5,0.6771540959040959
paired_direct,0,3,SVC,40,0.7350087412587413
dementia_vs_cn,0,3,SVC,40,0.9240530303030302
ad_vs_ftd,0,3,SVC,10,0.5339285714285714
resting_direct,0,4,LogisticRegression,10,0.7096054408554409
paired_direct,0,4,SVC,40,0.7791551041551041
dementia_vs_cn,0,4,SVC,40,0.9125631313131313
ad_vs_ftd,0,4,SVC,20,0.75
resting_direct,1,0,SVC,10,0.7095166407666409
paired_direct,1,0,LogisticRegression,10,0.7361747049247049
dementia_vs_cn,1,0,LogisticRegression,40,0.8712121212121213
ad_vs_ftd,1,0,SVC,10,0.7214285714285714
resting_direct,1,1,LogisticRegression,40,0.6966623654123655
paired_direct,1,1,SVC,40,0.7106807544307545
dementia_vs_cn,1,1,SVC,40,0.8742424242424243
ad_vs_ftd,1,1,SVC,40,0.7910714285714286
resting_direct,1,2,LogisticRegression,10,0.8017794705294705
paired_direct,1,2,SVC,40,0.8079520017020018
dementia_vs_cn,1,2,LogisticRegression,40,0.9268308080808081
ad_vs_ftd,1,2,LogisticRegression,10,0.6732142857142858
resting_direct,1,3,LogisticRegression,20,0.7523728586228586
paired_direct,1,3,SVC,40,0.8631079568579568
dementia_vs_cn,1,3,SVC,40,0.8227272727272728
ad_vs_ftd,1,3,SVC,20,0.7982142857142858
resting_direct,1,4,LogisticRegression,5,0.6941311003811003
paired_direct,1,4,SVC,40,0.7435848873348873
dementia_vs_cn,1,4,SVC,40,0.9321338383838385
ad_vs_ftd,1,4,SVC,40,0.6964285714285714
resting_direct,2,0,LogisticRegression,10,0.7351389351389351
paired_direct,2,0,LogisticRegression,40,0.7752203814703815
dementia_vs_cn,2,0,SVC,40,0.8242424242424243
ad_vs_ftd,2,0,SVC,40,0.6642857142857141
resting_direct,2,1,LogisticRegression,40,0.6705290080290081
paired_direct,2,1,SVC,40,0.7011037573537574
dementia_vs_cn,2,1,LogisticRegression,40,0.8676767676767677
ad_vs_ftd,2,1,SVC,40,0.85
resting_direct,2,2,LinearDiscriminantAnalysis,5,0.7219185906685905
paired_direct,2,2,LogisticRegression,10,0.7895065582565582
dementia_vs_cn,2,2,SVC,40,0.9193181818181818
ad_vs_ftd,2,2,LogisticRegression,20,0.7250000000000001
resting_direct,2,3,LogisticRegression,5,0.7687493062493063
paired_direct,2,3,SVC,10,0.7774417711917712
dementia_vs_cn,2,3,LogisticRegression,40,0.9162247474747476
ad_vs_ftd,2,3,SVC,40,0.5589285714285714
resting_direct,2,4,SVC,40,0.7118046305546306
paired_direct,2,4,SVC,40,0.7774172586672586
